Write one positive thought about yourself,Three words that describe your mood today,How do you feel today? What made you feel that way?,Who can you reach out to if you need support?,How do you feel after this session?
Work with mom,Happy,"Good, Because of our session",Mom,Very Happy
Seeing a friend lifts my mood,Happy,"Good, Because of holiday",Mom,Very Happy
Always respect elders,Sad,"Sad, Because of mom's health",None,Very Happy
Very kind,Happy,"Good, Because of our session",None,Very Happy
Always respect elders,Sad,"Good, Because of our session",None,Very Happy
Always respect elders,Sad,"Sad, Because of past",None,Very Happy
Always respect elders,Happy,"Happy, Because of mom",None,Very Happy
Good Artist,Sad,"Sad, Because of friend",Friend,Very Happy
Very kind,Happy,"Good, Because of holiday",Sister,Very Happy
Always respect elders,Happy,"Good, Because of defence day",Sister,Very Happy
Very kind,Happy,"Good, Because of our session",None,Happy
Very kind,Happy,"Good, Because of our session",None,Very Happy
Seeing a friend lifts my mood,Happy,"Good, Because of our session",None,Very Happy
Punctuality,Happy,"Good, Because of our session",None,Very Happy
Good Artist,Happy,"Good, Because of our session",None,Happy
Seeing a friend lifts my mood,Sad,"Sad, Because of brother",Mom,Very Happy
Reading books,Happy,"Good, Because of test",Mom,Very Happy
Love to learn,Happy,"Good, Because of holiday",Mom,Happy
Love to learn,Happy,"Good, Because of our session",Sister,Happy
Seeing a friend lifts my mood,Happy,"Good, Because of friend",Mom,Happy
Always respect elders,Happy,"Good, Because of holiday",Mom,Very Happy
Very kind,Happy,"Good, Because of friend",Friend,Very Happy
Seeing a friend lifts my mood,Happy,"Good, Because of friend",None,Very Happy
Practice patience,Happy,"Good, Because of our session",None,Very Happy
