Team Name,Matches Played,Win%,Loss%,Home Win%,Away Win%
Gujarat Titans,16,75.0,25.0,57.14,88.89
Lucknow Super Giants,15,60.0,40.0,87.5,28.57
Chennai Super Kings,208,58.17,41.83,58.56,57.73
Mumbai Indians,231,56.71,43.29,58.04,55.46
Kolkata Knight Riders,223,51.12,48.88,53.33,49.15
Rajasthan Royals,190,50.53,49.47,55.06,46.53
Rising Pune Supergiant,30,50.0,50.0,50.0,50.0
Sunrisers Hyderabad,152,49.34,50.66,52.17,46.99
Royal Challengers Bangalore,223,48.88,51.12,49.59,48.0
Delhi Capitals,222,46.4,53.6,46.9,45.87
Punjab Kings,218,46.33,53.67,45.45,47.22
Gujarat Lions,30,43.33,56.67,31.25,57.14
Kochi Tuskers Kerala,14,42.86,57.14,42.86,42.86
Deccan Chargers,75,38.67,61.33,33.33,44.44
Pune Warriors,45,26.67,73.33,26.09,27.27
